index,wav_file,old_name,segment_text,question,C1,C2,C3,C4,C_correct,summary,duration,training.thisRepN,training.thisTrialN,training.thisN,training.thisIndex,sum_true.thisRepN,sum_true.thisTrialN,sum_true.thisN,sum_true.thisIndex,dummy_loop.thisRepN,dummy_loop.thisTrialN,dummy_loop.thisN,dummy_loop.thisIndex,experiment.thisRepN,experiment.thisTrialN,experiment.thisN,experiment.thisIndex,sum_true_exp.thisRepN,sum_true_exp.thisTrialN,sum_true_exp.thisN,sum_true_exp.thisIndex,dummy_loop_exp.thisRepN,dummy_loop_exp.thisTrialN,dummy_loop_exp.thisN,dummy_loop_exp.thisIndex,thisRow.t,notes,Instructions.started,Instructions.stopped,Start_Segment_Train.started,Play_train.started,Trial_counter_train.started,text_5.started,Start_Segment_Train.stopped,Play_train.numClicks,Play_train.timesOn,Play_train.timesOff,Training_Segment.started,Experimen_audio.started,polygon.started,polygon.stopped,Training_Segment.stopped,Rating.started,slider.started,text_3.started,button_2.started,Rating.stopped,slider.response,slider.rt,button_2.numClicks,button_2.timesOn,button_2.timesOff,Start_Summary.started,text_2.started,Start_Summary.stopped,summary_button.numClicks,summary_button.timesOn,summary_button.timesOff,skip_button.numClicks,skip_button.timesOn,skip_button.timesOff,Summary.started,textbox.started,Summary.stopped,textbox.text,Multiple_Choice_2.started,Multiple_Choice_2.stopped,A.numClicks,A.timesOn,A.timesOff,B.numClicks,B.timesOn,B.timesOff,C.numClicks,C.timesOn,C.timesOff,D.numClicks,D.timesOn,D.timesOff,Start_Exp.started,Start_exp.started,Start.started,Start_Exp.stopped,Start.numClicks,Start.timesOn,Start.timesOff,Start_Segment.started,Play.started,Trial_counter.started,text_6.started,Start_Segment.stopped,Play.numClicks,Play.timesOn,Play.timesOff,Start_Sum_Exp.started,text_4.started,summary_button_exp.started,skip_button_exp.started,Start_Sum_Exp.stopped,summary_button_exp.numClicks,summary_button_exp.timesOn,summary_button_exp.timesOff,skip_button_exp.numClicks,skip_button_exp.timesOn,skip_button_exp.timesOff,textbox.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,Someday_99_condition-2-5x.wav,Someday__Someday__Maybe__Unabridged___File_044_of_116_1.wav,There are the things we all know we're supposed to have monologue comedic and dramatic song up tempo and ballad but there's a serious lack of information beyond that Today I need a funny laugh but what else should I know how to do Roller skating maybe That seems to come up a lot lately Jokes I should know more jokes in case I ever get asked if I've heard any good jokes lately but I'm not a good joke teller I always mess up the endings Maybe I should try to memorize a knock knock joke at least just in case,What does the narrator feel she need to learn for auditions?,A. Harseback riding,B. Jokes,C. Monologues,D. Ballads,B. Jokes,no,12.08375,,,,,,,,,,,,,0,81,81,81,,,,,,,,,2909.210104541,,,,,,,,,,,,2910.334731666,2910.3505573746666,2910.352145041,2922.445003375,2922.447760708,2922.4688953329996,2922.682293166,2922.682293166,2924.145931,2925.301262291,7.9750000000000005,1.6524484999999913,1,[1.1641039169999203],[1.1641063749993918],,,,,,,,,,,,,,2925.301665625,2931.065343,0,,,1,5.75624174999939,5.756244582999898,0,,,0,,,,,,,,,,2909.1975996250003,2909.210104541,2909.210104541,2909.210104541,2910.3345390409995,1,[1.1353058340000644],[1.1353087920006146],,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_97_condition-2x.wav,Someday__Someday__Maybe__Unabridged___File_043_of_116_0.wav,Yes Aren't you going to ask me about my show What Yes I'm sorry tell me Well I'm pretty excited actually I just got booked to do my one man show Insights in the basement of Hooligans Hooligans that's great Where is that again You know the Irish bar on Second Avenue it has the basement where Claudia did her poetry reading Oh yeah that Hooligans yeah such a great space,Where will the one-man show be performed?,A. In a theater on Broadway,B. In the basement of an Irish bar,C. At Claudia's poetry reading,D. In a small town in Connecticut,B. In the basement of an Irish bar,no,14.39996875,,,,,,,,,,,,,0,82,82,82,,,,,,,,,2931.0784022079997,,,,,,,,,,,,2932.785736291,2932.8016358746668,2932.80458025,2947.1966142909996,2947.204263875,2947.2148636250004,2947.4322285,2947.4322285,2948.9518753330003,2949.5684789159995,7.966666666666667,1.7122258330000477,1,[0.6258012920006877],[0.6258035000000746],,,,,,,,,,,,,,2949.5688920000002,2951.4370105830003,0,,,1,1.8596607500003302,1.8596634580007958,0,,,0,,,,,,,,,,2931.0660684160002,2931.0784022079997,2931.0784022079997,2931.0784022079997,2932.7855572910003,1,[1.7177513329997964],[1.717754165999395],,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_58_condition-3-5x.wav,Someday__Someday__Maybe__Unabridged___File_028_of_116_0.wav,Her profile is sharp her whole body a series of angles that have somehow Improbably folded themselves on their hinges into the soft chair There's something so regal and linear about her I can't imagine her ever collapsing into giggles or crying hysterically She's taking her time to consider what to say next in a way that suggests she's used to people waiting for her I wonder what that's like to never worry about filling the silence Her eyes eventually float back to me,How does the narrator describe the woman's profile?,A. Sharp,B. Round,C. Regal,D. Hysterical,A. Sharp,yes,9.15,,,,,,,,,,,,,0,83,83,83,0,0,0,0,0,0,0,0,2966.0653002910003,,,,,,,,,,,,2952.9537830829995,2952.969650207667,2952.968977458,2962.1306740829996,2962.1332277499996,2962.1444435000003,2962.348687875,2962.348687875,2964.6811375409998,2965.293918583,3.95,2.5118027079997773,1,[0.6222187499997744],[0.622221124999669],,,,,,,,,,2966.0556735829996,2966.0653002910003,2981.0490949160003,regal angles face eyes chair wonder what that's like,,,,,,,,,,,,,,,,,,,,,,2951.4374559999997,2951.445142791,2951.445142791,2951.445142791,2952.953584416,1,[1.515586749999784],[1.51558945799934],2965.294447458,2965.3007669159997,2965.3007669159997,2965.3007669159997,2966.054882833,1,[0.7595102919995043],[0.7595128749999276],0,,,2981.0664635000003,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_58_condition-3-5x.wav,Someday__Someday__Maybe__Unabridged___File_028_of_116_0.wav,Her profile is sharp her whole body a series of angles that have somehow Improbably folded themselves on their hinges into the soft chair There's something so regal and linear about her I can't imagine her ever collapsing into giggles or crying hysterically She's taking her time to consider what to say next in a way that suggests she's used to people waiting for her I wonder what that's like to never worry about filling the silence Her eyes eventually float back to me,How does the narrator describe the woman's profile?,A. Sharp,B. Round,C. Regal,D. Hysterical,A. Sharp,yes,9.15,,,,,,,,,,,,,0,83,83,83,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_58_condition-3-5x.wav,Someday__Someday__Maybe__Unabridged___File_028_of_116_0.wav,Her profile is sharp her whole body a series of angles that have somehow Improbably folded themselves on their hinges into the soft chair There's something so regal and linear about her I can't imagine her ever collapsing into giggles or crying hysterically She's taking her time to consider what to say next in a way that suggests she's used to people waiting for her I wonder what that's like to never worry about filling the silence Her eyes eventually float back to me,How does the narrator describe the woman's profile?,A. Sharp,B. Round,C. Regal,D. Hysterical,A. Sharp,yes,9.15,,,,,,,,,,,,,0,83,83,83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2981.0493845,2984.1426034999995,0,,,0,,,1,3.0857354169993414,3.0857384579994687,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_42_condition-3-5x.wav,Someday__Someday__Maybe__Unabridged___File_023_of_116_0.wav,There will be another showcase next year but my deadline expires way before then and I refuse to break it I refuse to become one of those people who can't accept the truth that it just isn't going to happen for them Something cold grabs my heart and my mouth falls open Maybe I've already become one of them while I wasn't looking Maybe I can't accept the truth that it just isn't going to happen for me Maybe I already know but I can't admit it How many more days of waiting do I really need before I have to face facts,When will be the next showcase?,A. Next year,B. Next month,C. Next week,D. Next fall,A. Next year,no,9.2125,,,,,,,,,,,,,0,84,84,84,,,,,,,,,2984.1504183750003,,,,,,,,,,,,2986.855434416,2986.871275832667,2986.870183625,2996.0824553330003,2996.0867851659996,2996.0980287909997,2996.334162833,2996.334162833,2998.0480371249996,2999.666723958,2.5250000000000004,2.9991567079996457,1,[1.6307557090003684],[1.6307585840004322],,,,,,,,,,,,,,2999.667187375,3008.7737624579995,0,,,1,9.098838125000839,9.098840750000818,0,,,0,,,,,,,,,,2984.143149458,2984.1504183750003,2984.1504183750003,2984.1504183750003,2986.855241208,1,[2.7102674580000894],[2.7102700409996032],,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_52_condition-3x.wav,Someday__Someday__Maybe__Unabridged___File_026_of_116_0.wav,She takes a deep breath and narrows her eyes and says slowly and deliberately I won't until I get something on my favorite show Law and Order You've never been on Law and Order I say surprised but you're perfect for it I know I'm even Irish and Italian Who knows cops and criminals better So why You haven't auditioned for them or People known for being on the most ridiculed talking animals show of the last decade sometimes have a hard time being taken seriously,What show does Dina want to get a role on?,A. "Law and Order",B. "There's Pierre",C. The talking animals show,D. A show about Irish and Italian people,A. "Law and Order",no,10.8225,,,,,,,,,,,,,0,85,85,85,,,,,,,,,3008.7811059160003,,,,,,,,,,,,3010.055303125,3010.070774416667,3010.0721976249997,3020.8923758749997,3020.894298458,3020.9046318749997,3021.106208041,3021.106208041,3023.9827943749997,3024.641760791,5.016666666666667,3.0503444169999057,1,[0.6715187500003594],[0.6715210829997886],,,,,,,,,,,,,,3024.642202291,3026.5082092499997,1,1.8579085420005867,1.857910792000439,0,,,0,,,0,,,,,,,,,,3008.7742013750003,3008.7811059160003,3008.7811059160003,3008.7811059160003,3010.055100333,1,[1.2794262500001423],[1.2794290000001638],,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_89_condition-4x.wav,Someday__Someday__Maybe__Unabridged___File_039_of_116_2.wav,Excuse me can you tell me what day of the week it is they'll say and laugh I'm leaning awkwardly against the wall near the door not sure what to do while I wait Maybe I should sit Plenty of people use sitting as a way to pass the time I look at the giant table and multitude of chairs Unless a bunch of people are going to join us this seems a strange room to choose for a meeting of two Yes I think I'll sit But I'm not sure which spot to choose I'm not totally sure I even want to sit yet,Why does the narrator feel uncertain about sitting in the room?,A. She is worried about her outfit,B. She doesn't know which chair to choose,C. She perefers to stand,D. She has somewhere else to be,B. She doesn't know which chair to choose,yes,7.185,,,,,,,,,,,,,0,86,86,86,0,0,0,0,0,0,0,0,3039.2694407910003,,,,,,,,,,,,3028.3399065000003,3028.355310874667,3028.352732458,3035.551482125,3035.554576875,3035.5657923749995,3035.7705895829995,3035.7705895829995,3037.400299375,3038.080859083,1.225,1.8073571669992816,1,[0.6931402919999528],[0.6931427500003338],,,,,,,,,,3039.259783333,3039.2694407910003,3054.2538029159996,i'm not sure i even want to,,,,,,,,,,,,,,,,,,,,,,3026.508653041,3026.516199375,3026.516199375,3026.516199375,3028.3396488749995,1,[1.8304344579992176],[1.830437124999662],3038.0813395409996,3038.087291,3038.087291,3038.087291,3039.2590314159997,1,[1.1768177499998274],[1.17682029199932],0,,,3054.273199958,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_89_condition-4x.wav,Someday__Someday__Maybe__Unabridged___File_039_of_116_2.wav,Excuse me can you tell me what day of the week it is they'll say and laugh I'm leaning awkwardly against the wall near the door not sure what to do while I wait Maybe I should sit Plenty of people use sitting as a way to pass the time I look at the giant table and multitude of chairs Unless a bunch of people are going to join us this seems a strange room to choose for a meeting of two Yes I think I'll sit But I'm not sure which spot to choose I'm not totally sure I even want to sit yet,Why does the narrator feel uncertain about sitting in the room?,A. She is worried about her outfit,B. She doesn't know which chair to choose,C. She perefers to stand,D. She has somewhere else to be,B. She doesn't know which chair to choose,yes,7.185,,,,,,,,,,,,,0,86,86,86,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_89_condition-4x.wav,Someday__Someday__Maybe__Unabridged___File_039_of_116_2.wav,Excuse me can you tell me what day of the week it is they'll say and laugh I'm leaning awkwardly against the wall near the door not sure what to do while I wait Maybe I should sit Plenty of people use sitting as a way to pass the time I look at the giant table and multitude of chairs Unless a bunch of people are going to join us this seems a strange room to choose for a meeting of two Yes I think I'll sit But I'm not sure which spot to choose I'm not totally sure I even want to sit yet,Why does the narrator feel uncertain about sitting in the room?,A. She is worried about her outfit,B. She doesn't know which chair to choose,C. She perefers to stand,D. She has somewhere else to be,B. She doesn't know which chair to choose,yes,7.185,,,,,,,,,,,,,0,86,86,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3054.254069875,3061.4389524999997,0,,,1,7.175349584000287,7.17535237500033,0,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_39_condition.wav,Someday__Someday__Maybe__Unabridged___File_021_of_116_1.wav,People who are admired for holding it together are not people who are about to get agents They're people who are recovering from cancer or undergoing a murder trial And I dropped a section I add hoping he'll say he didn't notice Yeah I know but I only know because I'm obsessed with that guy's work No one will dock you for that It's not exactly a glowing review but he doesn't seem totally horrified Still he's avoiding the thing I most want to know But when I fell I mean how bad was it,What does the narrator hope the person they are talking to will say?,A. That he didn't notice the mistake,B. That he noticed the dropped section,C. That he wants to be an agent,D. That he's obsessed with the narrator's work,A. That he didn't notice the mistake,no,29.17996875,,,,,,,,,,,,,0,87,87,87,,,,,,,,,3061.4520809160003,,,,,,,,,,,,3063.2929260829997,3063.3254303333333,3063.3246420409996,3092.504762625,3092.5084719159995,3092.5303356659997,3092.772647416,3092.772647416,3095.164165958,3095.89179325,10,2.6084861250001268,1,[0.7367086659996858],[0.7367113749996861],,,,,,,,,,,,,,3095.8922613329996,3102.208311958,1,6.30646033299945,6.306462874999852,0,,,0,,,0,,,,,,,,,,3061.439478083,3061.4520809160003,3061.4520809160003,3061.4520809160003,3063.2927366249996,1,[1.8516026249999413],[1.8516052920003858],,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_122_condition-3-5x.wav,Someday__Someday__Maybe__Unabridged___File_054_of_116_2.wav,When I first started watching it was just for a few minutes right after Lisa and before the first commercial break I was more fascinated than interested I would use the show as a kind of acting exercise challenging myself with the hokey dialogue saying the lines out loud to myself just to see if I could make the scenes feel more real than the actors on the show did I wondered if it was the actor's fault that the whole thing seemed so ridiculous or if there's truly nothing you can do to make it less phony given how phony it looks,How does the narrator approch the show?,A. As a truly fascinating show,B. As an acting practice,C. She never watches it,D. As a way to pass some quality time,B. As an acting practice,no,9.234375,,,,,,,,,,,,,0,88,88,88,,,,,,,,,3102.221568,,,,,,,,,,,,3103.87768425,3103.8931343746667,3103.8935477080004,3113.13926025,3113.14202225,3113.153247208,3113.3575737499996,3113.3575737499996,3114.9734446249995,3115.6799822499997,3.7416666666666667,1.7947301670001252,1,[0.7157850000003236],[0.715787334000197],,,,,,,,,,,,,,3115.6804433750003,3120.832898375,0,,,1,5.144183041999895,5.1441857919999165,0,,,0,,,,,,,,,,3102.208898625,3102.221568,3102.221568,3102.221568,3103.8774494580002,1,[1.666790416999902],[1.666793083999437],,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_59_condition-2x.wav,Someday__Someday__Maybe__Unabridged___File_028_of_116_1.wav,It's all sort of a a vacuum isn't it Yes it can be I guess Everett isn't saying anything I haven't thought before but there's something so depressing in her description Something less than comforting in her attempt to be understanding in My work ever it says in mergers and amalgamations We're seeing a real boom Lbo's are still the cornerstone of the business obviously but the increase in global capital flows is translating to even more revenue,What does Everett's description sound like to the narrator?,A. Comforting,B. Understanding,C. Concerned,D. Depressing,D. Depressing,no,14.995,,,,,,,,,,,,,0,89,89,89,,,,,,,,,3120.855331125,,,,,,,,,,,,3122.8298776250003,3122.8457406246666,3122.850961,3137.857264,3137.85999875,3137.8819490409996,3138.089809291,3138.089809291,3139.989517166,3141.285307291,7.941666666666667,2.753176041000188,1,[1.3083435420003298],[1.3083458340006473],,,,,,,,,,,,,,3141.2857953330004,3150.3819304159997,0,,,0,,,0,,,1,9.088540165999802,9.088542999999845,,,,,,,,3120.833428375,3120.855331125,3120.855331125,3120.855331125,3122.8296960830003,1,[1.9956989579995934],[1.9957015410000167],,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_71_condition-3-5x.wav,Someday__Someday__Maybe__Unabridged___File_033_of_116_5.wav,Mavis Alicia Carol I say to myself Mavis Alicia Carol Do you like to do this yourself I look up for my magazine to find Carol waving a strange metal object in front of my face I have no idea what it is or what it might be used for I'm sorry what is that Carol peers over her glasses at me in surprise You've never seen one of these before No But of course you have It's an eyelash curler I'm sure your mother has one,What is the object that the narrator has never seen before?,A. A cushion foundation,B. A colorful eyeliner,C. An eyelash curler,D. A brow gel,C. An eyelash curler,no,9.3375,,,,,,,,,,,,,0,90,90,90,,,,,,,,,3150.38917425,,,,,,,,,,,,3151.8483292499996,3151.864194791667,3151.863652125,3161.1902549159995,3161.2115489999996,3161.2227621659995,3161.4298627910002,3161.4298627910002,3164.9422318750003,3165.531991916,7.041666666666666,3.6948698750002222,1,[0.5991957500000353],[0.5991981249999299],,,,,,,,,,,,,,3165.5324279999995,3167.7028436660003,0,,,0,,,1,2.162454250000337,2.162457207999978,0,,,,,,,,,,3150.3823632080002,3150.38917425,3150.38917425,3150.38917425,3151.8481483329997,1,[1.4642298330008998],[1.4642324170008578],,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_134_condition.wav,Someday__Someday__Maybe__Unabridged___File_073_of_116_4.wav,"I don't want to admit it, but I'm still half-hoping to hear from James. But then I'm struck by how bad it would feel to wait for him on the night I just learned that no one's waiting for me anymore, and that catch you later okay isn't a plan, not a real one anyway. Maybe it wouldn't be such a bad thing if James called and got no answer. Um, okay? For what? He sits up, swinging his long legs down to the floor, then rubs his eyes and squints at me as if he's not sure whether he's awake or dreaming.",How does the narrator feel about receiving a call from James?,A. She is still hopeful,B. She is sure that he won't call,C. She doesn't care about it,D. She is optimistic,A. She is still hopeful,no,30.8700625,,,,,,,,,,,,,0,91,91,91,,,,,,,,,3167.711095666,,,,,,,,,,,,3168.765552041,3168.8147584999997,3168.8067174999996,3199.6672974579997,3199.6859288329997,3199.708052041,3199.9272016659997,3199.9272016659997,3200.9094378749996,3201.6791194999996,10,1.1745762079999622,1,[0.7814340830000219],[0.7814366669999799],,,,,,,,,,,,,,3201.6795869159996,3208.344777583,1,6.656342041999778,6.656344874999377,0,,,0,,,0,,,,,,,,,,3167.7033947500004,3167.711095666,3167.711095666,3167.711095666,3168.7653707500003,1,[1.0600601659998574],[1.0600628329993924],,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_37_condition.wav,Someday__Someday__Maybe__Unabridged___File_020_of_116_2.wav,If only I hadn't missed the chair if only I made better undergarment choices I Want to ask someone how bad it was exactly But the backstage area is so small that all the students here now are waiting for their turn and too nervous to talk Anyone who could have been watching from the wings is probably downstairs now in the green room smoking cigarettes and talking about themselves As much as I want feedback I don't feel like going down there I can face one person trying in vain to convince me it wasn't so bad but not a sea of pitying faces,What is preventing the narrator from asking someone about their performance?,A. Fear of a large crowd,B. Lack of interest in feedback,C. The small backstage area,D. Smoking cigarettes in the green room,C. The small backstage area,no,28.59996875,,,,,,,,,,,,,0,92,92,92,,,,,,,,,3208.360514,,,,,,,,,,,,3209.701687375,3209.734220624334,3209.7328937499997,3238.339339708,3238.3400245410003,3238.360493958,3238.564489708,3238.564489708,3239.672812291,3240.287142708,9.975,1.2854651659999945,1,[0.6233768750007584],[0.6233792920002088],,,,,,,,,,,,,,3240.287572958,3262.508978,1,22.21230708299936,22.212309790999825,0,,,0,,,0,,,,,,,,,,3208.345281625,3208.360514,3208.360514,3208.360514,3209.7015102079995,1,[1.3556605420008054],[1.3556632080008058],,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_47_condition-4x.wav,Someday__Someday__Maybe__Unabridged___File_024_of_116_3.wav,I almost feel as though I belong in this crowd tonight or that it's possible I could someday Absolute agency You're kidding me Look at you Dina hugs me hard when I tell her the news her perfectly polished red nails squeezing my arms Rockstar And another agency called Sparks Sparks That's Barney Sparks It's just him He's the whole office He's great He's been around a long time Dina holds her wine glass up already half empty and smiles,What does Dina do when the narrator tells her the news?,A. She hugs her,B. She shakes her hand,C. She kisses her,D. She cheers for her,A. She hugs her,no,7.515,,,,,,,,,,,,,0,93,93,93,,,,,,,,,3262.5164922080003,,,,,,,,,,,,3263.671568416,3263.6874637916667,3263.6851513330002,3271.214876166,3271.2176099159997,3271.2288257909995,3271.4338754580003,3271.4338754580003,3272.847131916,3273.740104708,2.2,1.590750416999981,1,[0.9057327919999807],[0.9057350829998541],,,,,,,,,,,,,,3273.7405545,3281.7521850410003,1,8.003565125000023,8.003568375000214,0,,,0,,,0,,,,,,,,,,3262.5095459579998,3262.5164922080003,3262.5164922080003,3262.5164922080003,3263.6713840410002,1,[1.1600503329991625],[1.16005291700003],,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_17_condition.wav,Someday__Someday__Maybe__Unabridged___File_011_of_116_0.wav,Are you sure you won't come back with me now He asked last time as I waited with him at his gate at the airport I just not yet Okay he said and then with a wink call me when you change your mind Sometimes when the tips are bad and my feet ache I wonder why I'm putting off the inevitable I wonder why I don't just pick up the phone and move to Chicago rather than continuing to attempt something that has a less than 5 success rate,What does the narrator contemplate while dealing with the hardships of her current situation?,A. Whether to continue waiting at the airport,B. Whether to ask for better tips to ease the pain in her feet,C. Why she is delaying a significant change in her life,D. Why she isn't more successful in her current endeavors,C. Why she is delaying a significant change in her life,no,28.68,,,,,,,,,,,,,0,94,94,94,,,,,,,,,3281.7647962909996,,,,,,,,,,,,3283.1059842080003,3283.138525041334,3283.137287458,3311.817329333,3311.8216784159995,3311.8439424159997,3312.055136375,3312.055136375,3313.016405708,3313.5790972080003,10.0,1.145015207999677,1,[0.5751603329999853],[0.5751626249993933],,,,,,,,,,,,,,3313.579520458,3332.4719228329996,0,,,0,,,1,18.881624208000176,18.881627333000324,0,,,,,,,,,,3281.7527579999996,3281.7647962909996,3281.7647962909996,3281.7647962909996,3283.1057972500003,1,[1.3513275840005008],[1.3513303750005434],,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_119_condition-4x.wav,Someday__Someday__Maybe__Unabridged___File_053_of_116_1.wav,But when did you start doing this I didn't see any of it in the fridge Yeah no that's the best part You don't have to refrigerate it It comes in a box It's freeze dried in a package and you just take it out and soak it You soak it It sounds weird I know but it's actually very convenient because you can take it anywhere you know on the go Why can't you just eat actual healthy food the kind that doesn't require soaking Well obviously because I can't be trusted to control myself This teaches you portion control,Why does the narrator prefer soaked food?,A. Because it helps with portion control,B. Because it tastes good,C. Becauseit is cheap,D. Because the friend likes it,A. Because it helps with portion control,no,7.1725,,,,,,,,,,,,,0,95,95,95,,,,,,,,,3332.4847682910004,,,,,,,,,,,,3334.8798383329995,3334.895275207667,3334.8933376659998,3342.0690168749998,3342.072010375,3342.083229125,3342.286523291,3342.286523291,3344.6455990409995,3345.259389666,2.3833333333333337,2.5352254999997967,1,[0.6229359999997541],[0.6229389999998602],,,,,,,,,,,,,,3345.259831833,3347.872690958,1,2.6047103330001846,2.6047132080002484,0,,,0,,,0,,,,,,,,,,3332.4724744160003,3332.4847682910004,3332.4847682910004,3332.4847682910004,3334.8795913329996,1,[2.406185708000521],[2.4061883330005003],,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_2_condition-4x.wav,Someday__Someday__Maybe__Unabridged___File_004_of_116_1.wav,Successful actresses are disciplined people who wake up early to focus on their craft I told myself even ones who still make their living as waitresses like me I started leaving the alarm clock on the landing between Jane's room and mine so I'd have to actually get out of bed in order to turn it off instead of hitting snooze over and over like I normally do I also resolved to quit smoking again to stop losing purses wallets and umbrellas and to not eat any more cheese puffs not even on special occasions,What resolution does the narrator make about her lifestyle to become a successful actress?,A. To wake up early and focus on her craft,B. To quit smoking and stop losing personal items,"C. To stop eating cheese puffs, even on special occasions",D. All of the above,D. All of the above,no,7.5875,,,,,,,,,,,,,0,96,96,96,,,,,,,,,3347.885579916,,,,,,,,,,,,3348.8262185000003,3348.8420932916665,3348.837884083,3356.436589291,3356.439249,3356.44982925,3356.6574412909995,3356.6574412909995,3357.9045750409996,3359.6602762909997,1.2999999999999998,1.4295781249993524,1,[1.7650614169997425],[1.7650637500000812],,,,,,,,,,,,,,3359.660714916,3381.314908958,0,,,0,,,0,,,1,21.64411199999995,21.6441151250001,,,,,,,,3347.87326775,3347.885579916,3347.885579916,3347.885579916,3348.826040875,1,[0.9510428329995193],[0.9510454159999426],,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
,Someday_67_condition-3-5x.wav,Someday__Someday__Maybe__Unabridged___File_033_of_116_1.wav,Well I'm doing all right I guess I imagine myself saying but I'm about three inches from where I really want to be I think of how much effort has taken me to even be a 29 I can't imagine what else I could do to be a 26 but it makes sense too that the Cordelia Biscaynes of the world are literally measurably different from the rest of us Three inches might as well be 300 to me today Hi I'm Carol,What size does the narrator wear?,A. 29,B. 26,C. 30,D. 28,A. 29,no,9.146875,,,,,,,,,,,,,0,97,97,97,,,,,,,,,3381.3229166250003,,,,,,,,,,,,3382.178133458,3382.1940032496664,3382.192332791,3391.329306625,3391.34786375,3391.3589669579997,3391.558631541,3391.558631541,3392.9726192910002,3396.4289973329996,5.558333333333334,4.291550291999556,1,[3.465491834000204],[3.4654941669996333],,,,,,,,,,,,,,3396.429425208,3398.4959325829996,1,2.059639416999744,2.0596418329996595,0,,,0,,,0,,,,,,,,,,3381.315466625,3381.3229166250003,3381.3229166250003,3381.3229166250003,3382.177949666,1,[0.8607113329999265],[0.8607139579999057],,,,,,,,,,,,,p_4,001,2024-03-12_10h25.09.680,speech_rate,2023.2.3,None,2024-03-12 10h31.13.024803 -0700,
